"Nyheter","Tillit","Rettferdige","Pavirkning","Tillit_Storting","Tillit_Dom","Tillit_Politi","Tillit_Politikere","Stemme","Alder","Kjonn","Inntekt","Utdanning"
60,3,3,2,7,8,8,6,7,57,2,4,6
60,7,7,3,7,7,7,7,3,58,1,5,6
540,7,7,3,6,6,8,5,3,63,1,10,6
30,3,4,2,2,1,0,2,8,51,1,6,6
60,9,9,4,9,9,9,8,10,46,1,10,13
120,5,6,2,2,7,5,2,8,55,1,6,10
60,5,10,3,3,8,9,5,3,60,1,2,6
90,5,4,4,8,7,8,6,NA,19,1,8,3
120,8,7,3,6,7,6,6,10,69,2,3,13
60,7,8,2,7,8,8,5,7,44,2,7,9
120,6,8,2,9,8,7,4,3,84,2,3,8
30,10,10,2,9,7,7,5,2,53,2,7,12
120,7,8,4,6,5,6,7,2,68,1,3,12
120,6,6,3,6,8,9,7,3,78,2,1,5
60,8,7,4,8,9,7,8,NA,33,1,NA,12
NA,9,10,3,8,6,8,6,2,25,2,1,9
60,8,5,3,8,8,8,7,5,48,2,8,13
20,8,8,3,8,7,6,6,6,37,1,4,11
120,9,9,4,9,9,9,8,3,57,2,6,6
20,7,7,3,8,8,7,6,NA,19,1,5,3
20,7,7,3,7,6,7,5,2,42,1,10,10
45,6,7,3,9,6,9,4,10,21,2,NA,9
150,9,8,3,8,9,8,6,6,53,1,6,5
90,4,2,2,4,4,4,5,NA,65,1,4,6
300,5,6,2,8,9,9,2,7,60,1,8,9
20,7,10,4,10,10,10,8,NA,17,2,7,3
180,7,7,3,5,3,7,7,7,65,2,4,3
30,7,7,3,7,9,7,3,1,30,2,4,13
10,8,8,2,6,9,8,5,NA,29,1,7,6
90,3,5,5,8,8,9,7,3,24,2,2,5
30,4,7,3,7,7,8,6,7,35,2,7,10
60,5,10,4,3,10,8,3,NA,58,2,NA,3
120,10,8,3,8,10,10,5,3,90,2,NA,12
60,8,7,2,8,8,8,7,7,52,2,2,9
120,9,9,3,8,9,8,8,6,32,1,6,10
60,6,5,2,4,6,7,4,8,24,2,7,6
60,3,2,1,0,5,5,0,7,71,2,9,13
60,6,5,3,10,5,10,4,3,24,1,1,5
30,3,5,3,5,4,4,2,8,22,2,8,5
60,8,9,4,9,9,9,7,3,55,1,4,10
60,9,8,4,9,9,9,7,7,80,1,2,9
60,8,8,3,8,8,6,6,7,53,1,5,9
60,7,8,4,10,8,8,7,8,65,1,8,11
60,7,7,4,8,6,6,5,2,39,2,5,12
60,5,8,2,8,9,9,6,7,22,1,10,9
30,7,4,3,10,NA,9,6,NA,50,1,8,3
