"polintr","actrolga","prtvtcgb","lrscale","stflife","stfdem","stfhlth","euftf","imbgeco","imueclt","inprdsc","atchctr","dscrrce","dscrsex","eisced","cntry"
1,3,NA,2,7,5,5,9,8,8,5,7,0,0,3,"DE"
3,2,NA,5,5,5,6,6,5,7,4,5,0,0,5,"DE"
3,1,NA,NA,5,NA,5,NA,3,2,1,7,1,0,5,"DE"
2,1,NA,7,8,4,6,7,6,7,3,10,0,0,3,"DE"
1,4,NA,3,8,9,9,10,8,5,3,10,0,0,6,"DE"
3,3,NA,5,3,3,7,7,4,3,3,10,0,0,4,"DE"
2,3,NA,3,9,7,8,10,8,10,5,2,0,0,6,"DE"
2,3,NA,3,2,1,2,0,5,5,2,2,0,0,3,"DE"
2,1,NA,3,7,4,2,7,6,7,3,8,0,0,6,"DE"
3,3,NA,2,7,6,6,6,7,5,3,6,0,0,4,"DE"
3,1,NA,0,10,5,1,2,10,8,1,1,0,0,3,"DE"
2,3,NA,NA,10,8,10,NA,8,8,4,5,0,0,2,"DE"
2,2,NA,8,7,3,8,0,NA,7,4,10,0,0,7,"DE"
2,2,NA,3,4,3,3,5,6,7,3,8,0,0,3,"DE"
3,4,NA,5,7,8,8,5,6,5,5,9,0,0,5,"DE"
3,2,NA,5,10,9,7,8,2,5,4,9,0,0,3,"DE"
3,2,NA,0,8,6,7,5,7,5,3,4,0,0,2,"DE"
1,1,NA,NA,6,5,NA,10,10,5,1,10,1,0,1,"DE"
3,2,NA,3,7,7,8,NA,4,6,4,7,0,0,2,"DE"
3,1,NA,0,8,3,5,0,0,8,1,5,0,0,1,"DE"
2,2,NA,NA,5,1,7,NA,0,0,3,4,0,0,2,"DE"
1,2,NA,4,10,8,7,10,6,9,2,8,0,0,7,"DE"
3,3,NA,6,8,5,7,7,5,5,4,7,0,0,5,"DE"
2,2,NA,7,8,8,6,4,7,8,3,10,0,0,3,"DE"
2,2,NA,6,7,8,8,8,2,2,4,8,0,0,3,"DE"
2,2,NA,4,8,7,4,8,7,8,3,5,0,0,3,"DE"
1,3,NA,4,9,6,2,10,6,5,4,7,0,0,3,"DE"
3,4,NA,0,5,3,7,NA,7,7,4,8,0,0,2,"DE"
3,2,NA,5,8,3,9,4,4,3,4,9,0,0,3,"DE"
4,2,NA,5,8,6,6,10,4,5,2,4,0,0,4,"DE"
2,1,NA,2,10,7,5,6,6,7,4,8,0,0,3,"DE"
2,3,NA,5,7,7,4,3,5,7,3,9,0,0,5,"DE"
2,1,NA,3,8,8,6,10,6,8,4,7,0,0,3,"DE"
3,1,NA,4,6,5,7,7,5,5,2,8,0,0,3,"DE"
1,3,NA,1,8,8,8,6,5,4,4,6,0,0,3,"DE"
3,3,NA,4,8,3,5,4,5,4,4,7,0,0,5,"DE"
3,2,NA,1,6,6,7,6,6,5,4,7,0,0,2,"DE"
