"ccode","High_Act","Country_Name","Year","Major_Power","Mil_Ex","Mil_Per","Total_Pop","Polity"
800,17,"Thailand",1980,NA,1096779,234,46718,2
800,17,"Thailand",1980,NA,1096779,234,46718,2
811,17,"Cambodia",1980,NA,-9,35,6498,-66
40,17,"Cuba",1980,NA,1126388,220,9724,-7
40,17,"Cuba",1980,NA,1126388,220,9724,-7
540,17,"Angola",1980,NA,682543,47,7019,-7
365,7,"Russia",1980,1,201000000,3900,265484,NA
365,7,"Russia",1980,1,201000000,3900,265484,NA
700,17,"Afghanistan",1980,NA,238087,43,16063,-66
520,17,"Somalia",1980,NA,97893,54,6713,-7
155,15,"Chile",1980,NA,1455820,116,11145,-7
630,20,"Iran",1980,NA,3386907,305,39291,-88
670,17,"Saudi Arabia",1980,NA,19261130,79,9604,-10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
731,17,"North Korea",1980,NA,1416585,700,17666,-9
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
2,7,"United States of America",1980,1,143981000,2050,227726,10
20,7,"Canada",1980,NA,4387240,82,24516,10
20,7,"Canada",1980,NA,4387240,82,24516,10
20,7,"Canada",1980,NA,4387240,82,24516,10
20,7,"Canada",1980,NA,4387240,82,24516,10
20,7,"Canada",1980,NA,4387240,82,24516,10
20,7,"Canada",1980,NA,4387240,82,24516,10
200,7,"United Kingdom",1980,1,26757385,330,56330,10
200,7,"United Kingdom",1980,1,26757385,330,56330,10
200,7,"United Kingdom",1980,1,26757385,330,56330,10
200,7,"United Kingdom",1980,1,26757385,330,56330,10
200,7,"United Kingdom",1980,1,26757385,330,56330,10
210,7,"Netherlands",1980,NA,5269353,107,14144,10
210,7,"Netherlands",1980,NA,5269353,107,14144,10
210,7,"Netherlands",1980,NA,5269353,107,14144,10
210,7,"Netherlands",1980,NA,5269353,107,14144,10
260,7,"German Federal Republic",1980,NA,26691973,490,61538,10
260,7,"German Federal Republic",1980,NA,26691973,490,61538,10
260,7,"German Federal Republic",1980,NA,26691973,490,61538,10
325,7,"Italy",1980,NA,9577908,500,56434,10
325,7,"Italy",1980,NA,9577908,500,56434,10
365,0,"Russia",1980,1,201000000,3900,265484,NA
365,17,"Russia",1980,1,201000000,3900,265484,NA
365,17,"Russia",1980,1,201000000,3900,265484,NA
40,0,"Cuba",1980,NA,1126388,220,9724,-7
220,7,"France",1980,1,26424988,575,53880,8
365,11,"Russia",1980,1,201000000,3900,265484,NA
2,16,"United States of America",1980,1,143981000,2050,227726,10
2,0,"United States of America",1980,1,143981000,2050,227726,10
652,8,"Syria",1980,NA,2166089,250,8704,-9
652,8,"Syria",1980,NA,2166089,250,8704,-9
663,8,"Jordan",1980,NA,460898,65,2923,-10
630,17,"Iran",1980,NA,3386907,305,39291,-88
750,17,"India",1980,NA,4560701,1104,673388,8
775,16,"Myanmar",1980,NA,202000,179,33637,-8
490,14,"Democratic Republic of the Congo",1980,NA,179076,26,26377,-9
600,7,"Morocco",1980,NA,1118030,117,19332,-8
800,8,"Thailand",1980,NA,1096779,234,46718,2
680,11,"Yemen People's Republic",1980,NA,123987,23,1903,-8
820,14,"Malaysia",1980,NA,1362169,83,13764,4
620,11,"Libya",1980,NA,2750000,53,2743,-7
435,0,"Mauritania",1980,NA,81006,8,1551,-7
93,0,"Nicaragua",1980,NA,62000,24,2771,-77
652,17,"Syria",1980,NA,2166089,250,8704,-9
652,17,"Syria",1980,NA,2166089,250,8704,-9
652,17,"Syria",1980,NA,2166089,250,8704,-9
660,17,"Lebanon",1980,NA,291000,18,2669,-77
816,7,"Vietnam",1980,NA,-9,900,53732,NA
220,17,"France",1980,1,26424988,575,53880,8
220,17,"France",1980,1,26424988,575,53880,8
483,17,"Chad",1980,NA,62031,3,4477,-77
616,8,"Tunisia",1980,NA,338701,29,6392,-9
220,11,"France",1980,1,26424988,575,53880,8
800,17,"Thailand",1981,NA,1665821,250,47718,2
800,17,"Thailand",1981,NA,1665821,250,47718,2
811,17,"Cambodia",1981,NA,-9,20,6561,-66
40,17,"Cuba",1981,NA,1272515,225,9724,-7
40,17,"Cuba",1981,NA,1272515,225,9724,-7
540,17,"Angola",1981,NA,688223,53,7209,-7
365,7,"Russia",1981,1,221000000,3900,267622,NA
365,7,"Russia",1981,1,221000000,3900,267622,NA
700,17,"Afghanistan",1981,NA,326007,45,15862,-66
520,17,"Somalia",1981,NA,162042,54,6968,-7
155,15,"Chile",1981,NA,2103330,116,11327,-7
630,20,"Iran",1981,NA,-9,260,40826,-88
