"internettbruk","kjonn","alder","utdanning","tillit"
5,2,67,18,8
5,1,45,11,6
1,2,73,8,0
5,1,21,8,NA
1,2,86,3,6
5,2,53,17,6
1,1,77,18,0
5,2,35,18,3
1,2,66,16,6
4,1,52,10,6
1,2,83,5,NA
1,2,86,3,7
1,1,62,5,5
5,1,40,20,6
5,2,52,11,8
5,1,20,13,5
5,2,57,13,5
4,2,51,16,4
5,1,46,13,7
3,1,38,NA,3
5,2,74,11,3
5,1,24,16,3
2,2,48,12,4
5,2,27,NA,6
5,2,32,18,2
4,1,38,9,3
5,1,29,19,0
4,1,16,8,NA
1,2,65,8,3
5,2,45,8,6
5,2,27,13,7
5,2,22,13,4
2,1,42,11,7
5,1,51,13,5
5,2,53,14,5
5,2,49,14,5
1,2,80,NA,0
1,2,81,2,5
5,1,74,21,2
1,1,90,6,4
3,2,55,11,7
5,2,51,8,6
2,1,49,15,4
2,1,50,10,2
3,2,71,5,4
5,2,62,16,1
2,1,45,13,4
3,2,42,21,4
5,1,34,14,3
5,2,23,16,4
5,2,48,13,7
3,1,51,10,2
3,1,62,8,4
5,1,61,13,4
1,2,79,10,7
5,2,46,13,4
5,1,26,16,10
5,2,32,13,3
4,2,48,13,10
3,1,64,7,5
5,1,26,19,6
5,1,51,18,8
5,1,32,13,5
4,1,21,13,7
1,1,56,13,6
1,2,70,13,0
1,2,76,5,3
5,1,39,13,8
5,2,59,13,0
5,2,28,8,8
1,2,82,5,2
5,2,44,14,5
4,1,53,12,5
4,1,72,NA,8
2,1,55,13,7
5,2,41,13,6
4,2,64,12,4
1,2,84,5,5
5,2,41,14,5
3,1,70,7,5
3,2,46,16,5
1,1,64,5,7
1,1,74,8,7
5,1,27,13,NA
5,2,52,19,7
1,1,59,8,6
2,2,64,8,0
5,2,23,13,8
1,2,90,NA,2
5,2,25,NA,3
4,1,58,9,5
5,2,21,15,5
5,2,16,9,6
2,2,74,12,6
1,1,80,10,0
2,2,55,13,6
5,1,50,7,6
5,2,33,13,0
1,1,81,8,7
4,1,43,13,0
1,2,NA,NA,5
4,1,52,18,NA
5,2,63,13,1
5,2,30,20,0
2,2,46,13,5
5,2,52,8,5
1,1,81,6,0
5,2,18,11,6
1,1,77,8,0
1,2,80,5,9
5,2,69,16,6
4,1,69,6,6
3,2,66,13,4
1,2,80,11,5
5,2,31,19,5
5,2,50,13,3
2,2,89,14,6
3,1,53,8,5
5,2,42,13,6
5,2,23,16,5
3,1,59,8,4
5,2,52,9,4
5,2,22,16,3
4,1,71,11,5
1,2,77,12,8
2,2,83,14,4
5,2,43,13,7
3,1,69,13,1
4,1,50,11,5
2,1,54,8,5
5,2,19,13,6
1,1,59,16,3
5,1,17,12,5
5,2,46,12,7
5,2,24,17,5
4,2,42,15,8
5,2,60,14,7
1,2,85,5,0
3,2,56,16,4
5,2,54,20,8
1,1,64,10,0
2,2,74,8,0
4,2,48,17,5
1,2,83,5,NA
5,1,35,8,8
1,2,76,8,8
4,1,35,12,5
5,2,21,17,5
1,1,60,5,0
5,2,17,10,5
5,2,57,13,8
4,2,67,13,2
4,2,37,13,NA
5,1,52,19,3
2,1,44,8,7
5,2,48,10,6
4,1,57,10,3
1,2,64,2,0
5,2,32,18,4
1,1,67,12,3
4,2,48,11,1
4,1,66,13,7
5,2,19,12,2
1,2,57,14,3
5,2,43,9,6
NA,1,82,5,5
3,2,40,15,0
1,2,71,5,NA
2,1,45,8,5
1,2,71,5,2
5,1,19,8,2
5,1,33,12,0
5,1,68,9,10
2,1,70,12,5
5,2,28,18,5
5,2,67,20,5
1,2,83,12,3
5,1,67,20,5
5,1,18,11,7
5,2,26,14,5
3,2,55,8,4
5,1,33,17,5
5,2,50,13,3
5,1,53,13,5
5,1,48,13,5
5,2,47,8,5
5,2,38,13,3
3,1,32,8,3
5,1,40,13,5
4,1,42,11,4
1,2,69,8,7
5,1,22,8,3
5,2,46,13,3
5,2,29,23,0
5,1,42,16,3
5,2,44,18,3
5,2,46,11,4
2,1,64,11,3
5,1,23,16,6
1,2,63,13,1
4,1,60,8,0
5,1,60,17,8
5,1,33,8,0
5,1,24,18,3
5,2,37,NA,5
4,2,44,11,1
3,1,43,5,10
4,2,40,14,0
5,1,31,8,5
2,2,67,8,10
1,2,81,14,5
5,2,32,8,1
4,2,70,8,6
5,1,33,13,9
1,1,75,7,3
5,2,34,13,3
3,2,50,NA,6
1,2,68,5,8
1,2,72,8,2
3,1,76,13,3
5,1,61,9,8
5,2,51,18,8
1,2,86,5,5
5,2,41,14,4
5,2,28,18,5
5,1,25,13,2
5,1,42,13,7
1,1,66,5,2
5,2,19,12,4
5,1,63,13,6
5,1,19,12,6
5,2,28,8,2
1,2,82,13,5
5,1,41,13,5
4,2,76,5,8
5,2,36,13,6
4,2,36,16,4
4,1,55,8,5
5,1,75,14,6
1,2,74,8,6
5,2,30,13,0
5,1,41,13,5
5,2,35,13,0
5,2,29,13,0
4,1,50,11,6
1,1,86,5,2
5,2,72,17,5
4,1,30,13,0
5,2,43,24,5
4,2,35,13,4
5,2,75,18,6
4,2,57,18,5
4,1,43,12,2
5,2,17,13,6
3,2,17,6,5
2,2,60,12,5
1,2,49,10,5
2,1,57,18,6
1,2,70,5,0
5,2,24,17,2
2,1,66,14,6
3,1,69,8,0
1,1,73,5,6
4,1,39,15,0
5,2,66,NA,5
5,1,63,13,6
1,2,88,5,0
5,2,22,18,2
3,1,64,8,4
5,1,32,17,6
5,1,45,8,0
4,2,49,8,6
5,2,33,13,8
4,1,40,19,2
5,1,55,NA,7
5,1,33,21,4
5,1,56,8,7
5,2,27,13,0
5,2,25,16,8
4,1,40,18,5
5,1,52,19,6
3,2,55,11,4
2,2,46,13,7
